Index,Query(한글),LLM Output
4OYHRU,내일 아침에 일찍 일어나서 운동을 해볼까 생각 중이야 그 다음에 팔로미,<function_MR>();<function_CK>()<end>
4PCILO,감지 감도 낮게 조절해줘,<function_QD>(type=0)<end>
4PCOWF,매너모드 작동시켜줘 또 새로운 레스토랑이 생겼던데 다음 주말에 가보자,<function_ZX>(enable=True);<function_MR>()<end>
4PDBZF,고정 공기 청정 가동 시작해줘 그 후에 에이아이 모드에서 실외 대기질 정보 연동 꺼주세요,"<function_PG>();<function_BP>(enable=1, type=0)<end>"
4PGHJK,초미세먼지는 어떤 물질입니까,<function_HW>(type=2)<end>
4PGNKQ,내일 후쿠오카 대기오염 괜찮아,"<function_IO>(timeframe=1, location=""후쿠오카"")<end>"
4PJGTT,김천의 토요일 날씨 전망을 표시해주세요,"<function_MO>(timeframe=8, location=""김천"")<end>"
4PLKIX,이 제품 작동 시 조심해야 할 거 뭐가 있어?,<function_DW>(type=4)<end>
4PLZYZ,에이아이 모드에서 둘 다 실행 부탁드립니다,"<function_BP>(enable=0, type=2)<end>"
4PNALA,저는 베이킹을 좋아해요,<function_MR>()<end>
4PPFLE,전원 꽂는 곳 세척 시 뭘 알아야 해?,<function_PC>(type=7)<end>
4PQDTG,집에서 영화 보는 게 좋아,<function_MR>()<end>
4PQRLS,다음 달에 있을 중요한 시험을 준비해야 할 것 같아,<function_MR>()<end>
4PRTUY,저녁 먹고 산책 나갈까,<function_MR>()<end>
4PTBZK,운행 빨리 다시 틀어.,<function_YA>(move=2)<end>
4PXQLA,내일은 조금 더 생산적인 하루를 보내야겠어,<function_MR>()<end>
4QGNVD,이번 주말에 공부할 계획 있어,<function_MR>()<end>
4QHAYV,주말 날씨 추울까,"<function_MO>(timeframe=2, location=""0"")<end>"
4QLXAH,탑재된 디스플레이에 대해 설명해 죠,<function_JS>(type=7)<end>
4QMMFC,충전 위치로 되돌아가 그 후에 유비이 에리디 빛 켜주라,<function_KI>();<function_NN>(enable=True)<end>
4QRUSV,주말 마카오 날씨 몇 도야,"<function_MO>(timeframe=2, location=""마카오"")<end>"
4QTJUO,매너모드에 대해 설명해 줘,<function_JS>(type=1)<end>
4QUXAQ,이번에 무슨 브랜드를 살까 고민 중이야,<function_MR>()<end>
4QVDKB,오랜만에 가족들이랑 시간을 보내니까 정말 좋았어,<function_MR>()<end>
4RCZMB,아그라 토요일 날씨 알려줘,"<function_MO>(timeframe=8, location=""아그라"")<end>"
4RDUNP,다음 달에 있을 모임 준비를 미리 해둬야겠어 그러고 나서 화씨 단위로 바꿔주세요,<function_MR>();<function_EW>(type=1)<end>
4REDYK,새로 시작한 드라마가 너무 재밌어서 시간 가는 줄 몰랐어,<function_MR>()<end>
4RGMPQ,목소리 강도 올려주세요,<function_ZV>(volume=-1)<end>
4RIEOE,청정 켜봐 그러고 나서 프라이버시 기능 켜줘,<function_PG>();<function_GN>(enable=True)<end>
4RLNKA,어떻게 충전 포트를 세척할 수 있어?,<function_PC>(type=7)<end>
4RNBXX,금요일 날씨 보여줘,"<function_MO>(timeframe=7, location=""0"")<end>"
4ROOSF,이제 그만 복귀해 그 다음에 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>"
4RRTAD,고정 공청 기능 켜줘 또 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>
4RTKLR,엘이디 화면밝기를 영으로 해줘,<function_WN>(brightness=0)<end>
4RUKYN,스테이션 위치로 복귀하세요 다음으로 음소거 모드로 지정해줘,<function_KI>();<function_MV>(mute=True)<end>
4SCNPI,충전 위치로 되돌아가 이어서 약풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=1)<end>
4SIAFY,지금 베이징 공기는 어때,"<function_IO>(timeframe=0, location=""베이징"")<end>"
4SIIEF,이번 주말에는 집에서 요리해보는 것도 좋을 것 같아,<function_MR>()<end>
4SKCNG,서대문구 주말 날씨 눈 올까,"<function_MO>(timeframe=2, location=""서대문구"")<end>"
4SLBLN,충전 위치로 되돌아가 그 다음에 엘이디 눈 밝기 일단계로 높여줄래,<function_KI>();<function_WN>(brightness=1)<end>
4SMBSR,수요일 날씨,"<function_MO>(timeframe=5, location=""0"")<end>"
4SMEMT,고정 공청 기능 켜줘 또 매너모드 꺼주세요,<function_PG>();<function_ZX>(enable=False)<end>
4SNOII,다음 주에는 더 열심히 일해야겠어 할 일이 많아 그 다음에 저를 향해 이동해주실래요,<function_MR>();<function_CK>()<end>
4SOBKN,일요일 날씨 좀 알려줘요,"<function_MO>(timeframe=9, location=""0"")<end>"
4SODHE,뭐 마실래,<function_MR>()<end>
4SZTFI,오늘은 무슨 일을 해야 할지 모르겠어 그냥 쉬고 싶어,<function_MR>()<end>
4SZTOO,이 영화 재밌을까,<function_MR>()<end>
4TFFOC,이번 주말에는 오랜만에 친구들이랑 만나기로 했어,<function_MR>()<end>
4TFNQB,어제 저녁에 먹었던 음식이 너무 맛있어서 오늘도 먹고 싶어,<function_MR>()<end>
4TJYJX,이제 그만 복귀해 그 다음에 약풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=1)<end>
4TKECA,인형놀이방에서 청정 시스템 가동해,"<function_FF>(position=""인형놀이방"")<end>"
4TKHIH,금요일 캔버라 날씨 안내해줘,"<function_MO>(timeframe=7, location=""캔버라"")<end>"
4TROMB,점심 먹었어,<function_MR>()<end>
4UEBMS,매너모드 비활성화해줘 이어서 오늘 회사에서 회의가 있었는데 생각보다 길었어,<function_ZX>(enable=False);<function_MR>()<end>
4UEOWG,유부이 살균 엘이디 상태 알려줘,<function_NN>(get=True)<end>
4UIJFH,유기화합물이 무슨 의미일까,<function_HW>(type=3)<end>
4UJJSK,오늘 하루는 너무 바빠서 이제 좀 쉬고 싶어,<function_MR>()<end>
4ULIEM,충전 위치로 되돌아가 그 다음에 금요일 시에나 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=7, location=시에나)<end>"
4ULKEV,현재 기본 테마로 설정되어 있는지 확인해줄 수 있어 그리고 오늘은 일찍 자야겠어 내일 아침에 일찍 일어나야 하거든,<function_HG>(get=True);<function_MR>()<end>
4UNUHN,공기청정기 구조를 간단히 설명해줄래?,<function_SB>(type=4)<end>
4UNVSX,스테이션 위치로 복귀하세요 그 후에 음소거 비활성화 해줘,<function_KI>();<function_MV>(mute=False)<end>
4UQDHU,오늘 저녁에는 친구들과 만나서 시간을 보내기로 했어,<function_MR>()<end>
4URVGO,내일은 꼭 일찍 일어나서 할 일을 빨리 끝내야겠어,<function_MR>()<end>
4USVSY,나를 바라봐줄래?,<function_FR>()<end>
4UVROP,주말 여기에 공기가 나쁠까,"<function_IO>(timeframe=2, location=""0"")<end>"
4UVUHA,날짜 좀 봐줄래?,<function_SV>(type=5)<end>
4VEENM,오늘 하루는 너무 바빴어 이제 좀 쉬고 싶어,<function_MR>()<end>
4VEJLY,고정 공청 기능 켜줘 공기질 상태 표시 작동해,<function_PG>();<function_SC>(enable=True)<end>
4VLHKK,고정 공기 청정 실행해줘 일요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=9, location=""0"")<end>"
4VMAYE,반려동물을 키우고 싶어,<function_MR>()<end>
4VNDJH,고정 공기 청정 실행해줘 다음으로 토요일 천호동 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=8, location=천호동)<end>"
4VNVPH,처음 위치로 돌아가주면 좋겠어 이어서 화요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=4, location=""0"")<end>"
4VOYIE,이동 정지해줘.,<function_YA>(move=0)<end>
4VXWZN,주말에 뭐 할지 아직 정하지 못했어 그냥 집에 있을까 생각 중이야,<function_MR>()<end>
4VZMKW,무인발권기존 청정 시스템 작동해주세요,"<function_FF>(position=""무인발권기존"")<end>"
4WARPV,요즘 여행지 중에 어디가 제일 좋아 다음으로 유뷔 엘리디 켜진거 맞나요,<function_MR>();<function_NN>(get=True)<end>
4WFPBX,내일 아침에는 조금 일찍 일어나서 산책이나 할까 다음으로 금요일 해남 공기질 때문에 마스크 써야 할까,"<function_MR>();<function_IO>(timeframe=7, location=해남)<end>"
4WGQID,고정 공기 청정 가동 시작해줘 또 금요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=7, location=""0"")<end>"
4WHWLT,고스트 모드 중지해줘,<function_BS>(enable=False)<end>
4WMGAE,이산화탄소가 뭔지 말해줘,<function_HW>(type=6)<end>
4WNNMF,스테이션 위치로 복귀하세요 그리고 주말 날씨 추울까,"<function_KI>();<function_MO>(timeframe=2, location=""0"")<end>"
4WQDXS,내일은 뭘 해야 할지 아직 결정하지 못했어 이어서 에이아이 모드 비활성화되어 있는지 알려줘,<function_MR>();<function_BP>(get=True)<end>
4WSPPZ,고정 공기 청정 실행해줘 주말 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=2, location=""0"")<end>"
4WVVNZ,금요일 브레멘 날씨 어때요,"<function_MO>(timeframe=7, location=""브레멘"")<end>"
4WYQVO,센서 민감도 레벨이 무엇인지 알려줄래요 그 후에 이번 주말에는 뭐 하고 놀까 새로운 카페나 가볼까,<function_QD>(get=True);<function_MR>()<end>
4WZXWS,충전할 때에는 뭘 조심해야해,<function_DW>(type=2)<end>
4XBDBS,이 제품의 충전 시간은 몇 시간이야,<function_KP>(type=1)<end>
4XBDFB,온도 단위 바꾸고 싶어요,<function_EW>(type=-1)<end>
4XEGJH,스테이션 위치로 복귀하세요 밝기를 100퍼로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>
4XEQHK,엘이디 공기질 상태표시 꺼,<function_SC>(enable=False)<end>
4XETQX,맥박 수치 측정하고 싶어.,<function_GV>()<end>
4XFBVH,이번 주말에는 뭐 할까 오랜만에 친구들과 시간을 보내고 싶어,<function_MR>()<end>
4XJGLK,토요일 리스본 날씨 좀 알려줘,"<function_MO>(timeframe=8, location=""리스본"")<end>"
4XQMSR,접수상담실에서 바로 청정해주세요,"<function_FF>(position=""접수상담실"")<end>"
4XSAIV,음량을 사로 설정해줘,<function_ZV>(volume=4)<end>
4XTXKW,수요일 여기에 공기가 나쁠까 또 새로 배운 기술 있으면 공유해줄래,"<function_IO>(timeframe=5, location=""0"");<function_MR>()<end>"
4YFSZB,고정 공기 청정 가동 시작해줘 그러고 나서 지금 상세 공기질 테마 사용 중이야,<function_PG>();<function_HG>(get=True)<end>
4YSAZJ,민감도 센서가 뭐예요,<function_JS>(type=9)<end>
4YTEBW,지금 나이로비 공기질 나쁘게 느껴져,"<function_IO>(timeframe=0, location=""나이로비"")<end>"
4YWPSM,고정 공기 청정 가동 시작해줘 그 다음에 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>
4YXTYY,주말에는 친구들이랑 오랜만에 만나기로 했어 기대 돼 그 다음에 남성 보이스로 변경해주세요,<function_MR>();<function_GQ>(gender=2)<end>
4ZADLL,내일 리마 날씨 어때,"<function_MO>(timeframe=1, location=""리마"")<end>"
4ZAMFZ,내일은 친구들이랑 만나서 저녁을 먹기로 했어,<function_MR>()<end>
4ZDIHB,고정 청정 온 다음으로 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>"
4ZFYXA,좋아하는 취미 활동이 뭐야,<function_MR>()<end>
4ZJDQY,약풍,<function_NK>(speed=1)<end>
4ZJKYF,소리 볼륨을 삼으로 맞춰줘 그러고 나서 오늘 무슨 계획 있어,<function_ZV>(volume=3);<function_MR>()<end>
4ZKZKY,실시간 공기질 모니터링 보여주세요 그러고 나서 국내 여행도 좋은 데가 많아,"<function_IO>(timeframe=0, location=""0"");<function_MR>()<end>"
4ZLLQL,출근하기 싫어,<function_MR>()<end>
4ZPCEW,내일 아침에 일어나야 돼 또 화면 밝기를 4단계로 조정해줄래,<function_MR>();<function_WN>(brightness=4)<end>
4ZTEKJ,충전하러 복귀 그러고 나서 바람 강도 중풍으로 맞춰줘,<function_KI>();<function_NK>(speed=2)<end>
4ZVMUE,수요일 노원구 대기질을 화면에 보여줘 이어서 이번 주말엔 그냥 집에서 푹 쉬어야겠어,"<function_IO>(timeframe=5, location=노원구);<function_MR>()<end>"
4ZXOXW,처음 위치로 돌아가주면 좋겠어 그리고 스캐닝 기능 시작해주세요,<function_KI>();<function_IH>(scan=True)<end>
5AEMBU,고정 청정 온 그러고 나서 청정 기능 재시작해줘,<function_PG>();<function_YA>(move=2)<end>
5AFRLG,고정 공기 청정 가동 시작해줘 그리고 토요일 천호동 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=8, location=천호동)<end>"
5AGRYR,공간별 누적 공기질 정보 연동 옵션을 활성화해주실래요 그 다음에 이번 주말에는 가족들이랑 시간을 보내려고 해 오랜만이야,"<function_BP>(enable=0, type=1);<function_MR>()<end>"
5AHKDF,공기질 상태 표시 작동 중인지 알려줘 그리고 오늘 점심은 간단하게 먹고 싶어,<function_SC>(get=True);<function_MR>()<end>
5AHMWV,다음 주에는 조금 더 부지런히 시간을 보내야겠어,<function_MR>()<end>
5AKQZK,완충하려면 얼마나 걸려,<function_KP>(type=1)<end>
5ALZJH,다음 주에 있을 약속이 취소돼서 좀 아쉽다,<function_MR>()<end>
5AMTGU,내일은 아침 일찍 일어나서 산책을 나가볼까 고민 중이야,<function_MR>()<end>
5ANBAL,분해실 청정 부탁합니다,"<function_FF>(position=""분해실"")<end>"
5ANQLE,듣기 모드 중지해 그러고 나서 오늘은 하루 종일 비가 와서 기분이 축 처지네,<function_QT>(enable=False);<function_MR>()<end>
5ANWBH,내일은 친구들이랑 만날 예정이라 기대 돼,<function_MR>()<end>
5AONRA,내일은 집에서 요리나 해볼까 싶어,<function_MR>()<end>
5APKBY,강남구 수요일 날씨 눈 올까,"<function_MO>(timeframe=5, location=""강남구"")<end>"
5ARZBN,어른이 되고 나서 친구 사귀기가 어렵지 않아,<function_MR>()<end>
5ATRNP,엘이디 밝기 최소로 설정해줘,<function_WN>(brightness=0)<end>
5AVSRN,스테이션 위치로 복귀하세요 그러고 나서 월요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>"
5AXXMZ,내일은 운동을 꼭 해야겠어 요즘 너무 게을러졌어,<function_MR>()<end>
5BBWDY,내일 아침에는 일찍 일어나서 독서를 할 계획이야,<function_MR>()<end>
5BFLUR,내일은 조금 더 생산적인 하루를 보내야겠어 그러고 나서 목요일 날씨 정보 표시해줄래,"<function_MR>();<function_MO>(timeframe=6, location=""0"")<end>"
5BHBEK,주말 로마 공기질 걱정해야 할까 그 후에 새로 산 가방 마음에 들어,"<function_IO>(timeframe=2, location=로마);<function_MR>()<end>"
5BKYSH,주말에 친구들이랑 모임을 가질 예정인데 뭘 입고 갈지 고민이야,<function_MR>()<end>
5BNDTA,매일 아침 산책하는 게 습관이 됐어,<function_MR>()<end>
5BOIFB,목요일 마닐라 날씨 어때,"<function_MO>(timeframe=6, location=""마닐라"")<end>"
5BSWTA,제품 외관이 더러운데 청소 좀 해야겠어,<function_PC>(type=8)<end>
5BTIJN,에이아이 모드 둘 다 켜주시기 바랍니다,"<function_BP>(enable=0, type=2)<end>"
5BTXWQ,고정 청정 온 그러고 나서 목요일 싱가포르 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=6, location=싱가포르)<end>"
5BWLZV,금요일 날씨 어떨 거 같아,"<function_MO>(timeframe=7, location=""0"")<end>"
5CAZYO,이번에 새로 배운 취미 있어 그리고 충전량 얼마야,<function_MR>();<function_JJ>()<end>
5CDROG,겨울 여행지 추천해줘,<function_MR>()<end>
5CLZHO,하나의 미래 기술을 지금 가질 수 있다면 뭘 원해,<function_MR>()<end>
5CMOLG,이번에 새로 나온 카메라가 정말 좋아 보이는데 살까 말까 고민 중이야 그리고 온도 단위 섭씨인지 알려주세요,<function_MR>();<function_EW>(get=True)<end>
5CNHZU,듣기 기능 활성화됐나요 또 내일 아침에 일찍 일어나서 산책을 나가볼까 생각 중이야,<function_QT>(get=True);<function_MR>()<end>
5CWOGQ,강품으로 바꿔줘,<function_NK>(speed=3)<end>
5DEQEK,유브이 살균 엘이디 꺼줘,<function_NN>(enable=False)<end>
5DGHHJ,이번 주말에는 캠핑을 가기로 했는데 기대 돼,<function_MR>()<end>
5DHWAJ,홍보실 공기 청정이 필요해 그리고 뭐 좀 추천해줄래,<function_FF>(position=홍보실);<function_MR>()<end>
5DKHDK,미디음을 제일 낮게 설정해 줘 그 후에 이번 주말 계획 말해줄래,<function_ZV>(volume=0);<function_MR>()<end>
5DMEMO,책을 다 읽었는데 이제 무슨 책을 읽어야 할지 고민이네,<function_MR>()<end>
5DMHUO,화면 밝기를 최대로 올려줘,<function_WN>(brightness=-1)<end>
5DMSNB,내일 카트만두 날씨 몇 도야,"<function_MO>(timeframe=1, location=""카트만두"")<end>"
5DOQXG,고정 공청 기능 켜줘 그러고 나서 실외 대기질 정보 연동 옵션을 활성화해주실래요,"<function_PG>();<function_BP>(enable=0, type=0)<end>"
5DPDTC,이번 주에는 조금 더 계획적으로 살아야겠어,<function_MR>()<end>
5DPXSU,블라디보스토크 화요일 날씨 알려줘,"<function_MO>(timeframe=4, location=""블라디보스토크"")<end>"
5DRCVS,새로 나온 영화가 기대 돼 이번 주말에 보러 갈까 생각 중이야,<function_MR>()<end>
5DROQD,스테이션 위치로 복귀하세요 또 볼륨이 현재 몇 단계인지 궁금해,<function_KI>();<function_ZV>(get=True)<end>
5DSFRX,온라인 강의 들어봤어 다음으로 월요일 방콕 미세먼지 어때,"<function_MR>();<function_IO>(timeframe=3, location=방콕)<end>"
5DTKHE,공간별 공기질 이력 연동 옵션을 활성화해 주시면 감사하겠습니다 에이아이 모드 설정에서요,"<function_BP>(enable=0, type=1)<end>"
5DUYSV,이제 그만 복귀해 그러고 나서 지금 음소거 모드 해제해줘,<function_KI>();<function_MV>(mute=False)<end>
5DVKMM,센서 민감도 설정에 대해 설명해 줘,<function_JS>(type=9)<end>
5EAIMQ,질소산화물이 뭔데,<function_HW>(type=4)<end>
5EIVCI,이번 주에는 할 일이 많아서 조금 더 부지런히 보내야겠어,<function_MR>()<end>
5EJMJD,고정 공기 청정 가동 시작해줘 그리고 배터리 잔량 확인해줘,<function_PG>();<function_JJ>()<end>
5EKSGL,수요일 날씨 몇 도야,"<function_MO>(timeframe=5, location=""0"")<end>"
5ELZEZ,어떤 청정 기능이 탑재되어 있나요,<function_EN>(type=3)<end>
5EMGJS,수요일 날씨 알려줄래,"<function_MO>(timeframe=5, location=""0"")<end>"
5EONDR,테일러 스위프트 노래 자주 들어,<function_MR>()<end>
5ERICS,오늘 저녁에 뭐 먹을지 고민 중인데 뭘 먹을까,<function_MR>()<end>
5ETWHJ,기기 언어를 변경할 수 있을까,<function_HS>(type=-1)<end>
5EWVZY,주말 날씨 더워,"<function_MO>(timeframe=2, location=""0"")<end>"
5FEQVH,이제 그만 복귀해 그리고 목요일 마닐라 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=6, location=마닐라)<end>"
5FFDZW,엘이디 화면밝기를 일로 해줘,<function_WN>(brightness=1)<end>
5FFQIH,버튼음을 최소 단계로 해줘 그 후에 오늘 아침 뭐 먹었어,<function_ZV>(volume=0);<function_MR>()<end>
5FHFUU,요즘 인기 많은 드라마 뭐야 그 다음에 음소거 상태야,<function_MR>();<function_MV>(get=True)<end>
5FKHHA,이사 왔는데 친구를 어떻게 사귀어야 할까,<function_MR>()<end>
5FMBZH,고정 공기 청정 가동 시작해줘 그리고 룩앳미,<function_PG>();<function_FR>()<end>
5FWKJB,오늘 일찍 퇴근할 거야,<function_MR>()<end>
5FWOXJ,유브이 엘이디는 뭘 말하는거야,<function_JS>(type=6)<end>
5FWUOP,개인정보 보안은 되어있는 거야,<function_SB>(type=5)<end>
5FWXAR,사용 중인 온도 표기 체계 알려주세요,<function_EW>(get=True)<end>
5FZGOW,이번 주말에는 오랜만에 가족들과 시간을 보내기로 했어,<function_MR>()<end>
5FZMUS,오늘 하루는 정말 바빴어 이제 좀 쉬고 싶어,<function_MR>()<end>
5GDWIQ,주말에 뭘 할지 아직 못 정했는데 그냥 영화나 볼까 생각 중이야,<function_MR>()<end>
5GFALH,오늘 저녁에는 간단하게 파스타나 만들어볼까 생각 중이야,<function_MR>()<end>
5GGTMH,처음 위치로 돌아가주면 좋겠어 그 후에 미디음 볼륨 단계가 어떻게 되는지 알려줘,<function_KI>();<function_ZV>(get=True)<end>
5GPBVQ,엘씨디 화면 밝기를 영단계로 조절해줄래 그 다음에 이 책 읽어볼까,<function_WN>(brightness=0);<function_MR>()<end>
5GQAGU,이 책 재미있어 보여,<function_MR>()<end>
5GQDHT,고정 공기 청정 가동 시작해줘 그리고 에러 띄워줘,<function_PG>();<function_XO>()<end>
5GTFRI,내일 만나자,<function_MR>()<end>
5GUZWC,새로 시작한 프로젝트가 생각보다 어려워서 스트레스를 많이 받아,<function_MR>()<end>
5GXMJN,지금 공기질 모니터링 상황 알고 싶어,"<function_IO>(timeframe=0, location=""0"")<end>"
5HABMC,다음 주말에는 친구들과 함께 시간을 보내,<function_MR>()<end>
5HAMCW,고정 공청 기능 켜줘 이어서 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>
5HCORR,개인정보 보호 체계는 있는 거야,<function_SB>(type=5)<end>
5HDBHN,청정 켜봐 이어서 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,"<function_PG>();<function_BP>(enable=0, type=1)<end>"
5HGCOH,지금 설정된 온도 표기를 확인하고 싶어요 그리고 요즘 들어 일찍 자고 일찍 일어나니까 기분이 상쾌해,<function_EW>(get=True);<function_MR>()<end>
5HIOMK,이번 영화 기대 돼,<function_MR>()<end>
5HKGCW,감지 감도 낮게 조정하면 되겠네,<function_QD>(type=0)<end>
5HLHCP,새로 산 가방 마음에 들어,<function_MR>()<end>
5HMQPG,웨이크업 기능이 하는 역할이 뭐야,<function_EN>(type=5)<end>
5HMRPG,이번에 새로 나온 스마트폰이 정말 좋다는데 살까 말까 고민이네 그리고 나이트 모드 꺼줘,<function_MR>();<function_BS>(enable=False)<end>
5HUAFZ,선호하는 운동이 있어,<function_MR>()<end>
5HUSLY,이번 주에는 운동을 좀 더 열심히 해서 몸을 건강하게 만들어야겠어,<function_MR>()<end>
5HZXHF,선택 구역 공기청정 시작해,<function_FF>(position=-1)<end> 
5IFVPR,청정 켜봐 그 다음에 해운대의 일요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=9, location=해운대)<end>"
5IGUUZ,세비야의 주말 날씨 전망을 표시해주세요,"<function_MO>(timeframe=2, location=""세비야"")<end>"
5IGWHB,내일 카사블랑카 날씨 알려줘,"<function_MO>(timeframe=1, location=""카사블랑카"")<end>"
5IIMHN,대기화면을 기본 테마로 전환해주실래요 또 다음 달에 중요한 발표가 있어서 준비를 열심히 하고 있어,<function_HG>(theme=0);<function_MR>()<end>
5ILIOT,프라이버시 설정 비활성화할 수 있어 그 후에 다음 주에 새로운 프로젝트를 시작하는데 준비가 잘 될까 걱정이야,<function_GN>(enable=False);<function_MR>()<end>
5ILUQP,토요일 날씨 알려줄래,"<function_MO>(timeframe=8, location=""0"")<end>"
5IPYLB,저녁에 뭐할까,<function_MR>()<end>
5IQZED,다음 달에 친구들과 여행을 가기로 했는데 기대 돼,<function_MR>()<end>
5IQZOS,나이트 모드 설정해줘,<function_BS>(enable=True)<end>
5IUUBR,엘이디 화면밝기를 오단계로 설정해줘,<function_WN>(brightness=5)<end>
5IVPWT,내일은 친구들이랑 만날 계획인데 어디서 만나야 할지 고민이네,<function_MR>()<end>
5IVRUY,화요일 자카르타 날씨 더워,"<function_MO>(timeframe=4, location=""자카르타"")<end>"
5IVTSK,고정 청정 온 다음으로 바람 강도 자동으로 맞춰줘,<function_PG>();<function_NK>(speed=0)<end>
5IYBUE,현재 뉴델리 초미세먼지 농도 몇이야,"<function_IO>(timeframe=0, location=""뉴델리"")<end>"
5IYVBD,자기 소개 시작해.,<function_EN>(type=1)<end>
5JFEHV,이제 그만 복귀해 그러고 나서 터치음을 사십퍼로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>
5JGXED,소피아 수요일 날씨에 눈 오니,"<function_MO>(timeframe=5, location=""소피아"")<end>"
5JHTYF,고정 청정 온 그리고 화요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=4, location=""0"")<end>"
5JINDH,방별 공기질 모니터링 결과 알려줘요,"<function_IO>(timeframe=0, location=""0"")<end>"
5JQHOT,일주일 중 가장 좋아하는 날이 언제야,<function_MR>()<end>
5JTYJY,새로 나온 카페가 분위기가 좋아서 가보고 싶어,<function_MR>()<end>
5JUITZ,이번에 새로 산 신발이 너무 편해서 매일 신고 다니고 있어,<function_MR>()<end>
5JUZTP,공기청정 모드 실행하고 있니?,<function_ID>(get=True)<end>
5JWNGC,충전 중에 내가 조심해야 할 게 있어,<function_DW>(type=2)<end>
5JWXNZ,고정 공청 기능 켜줘 전체 구역 청정 부탁할게,<function_PG>();<function_EF>(action=1)<end>
5JXPFI,집에 있는 시간이 많아지니까 집안일을 자꾸 미루게 돼,<function_MR>()<end>
5KAQCY,여기 와본 적 있어,<function_MR>()<end>
5KEPPA,기기 언어 바꾸고 싶어요,<function_HS>(type=-1)<end>
5KFRPV,토요일 에센 날씨 어때요,"<function_MO>(timeframe=8, location=""에센"")<end>"
5KGWSV,맥박수 측정하고 알려줄래?,<function_GV>()<end>
5KHFHC,점심 같이 먹을래,<function_MR>()<end>
5KKKMI,다음 달에 있을 중요한 시험 준비로 바빠,<function_MR>()<end>
5KKLQS,다음 주에는 조금 더 부지런하게 보내야겠어 할 일이 많아,<function_MR>()<end>
5KLVZR,내일 비 온다던데,<function_MR>()<end>
5KNHTP,고정 공청 기능 켜줘 이어서 내일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=1, location=""0"")<end>"
5KODFI,주말에는 주로 공부하니,<function_MR>()<end>
5KOJWT,충전하러 복귀 다음으로 내일 날씨 추울까,"<function_KI>();<function_MO>(timeframe=1, location=""0"")<end>"
5KUWZR,세계여행방에서 청정해주시면 감사해요,"<function_FF>(position=""세계여행방"")<end>"
5KVAAH,공기청정기 설치 시 주의해야 할 거 뭐가 있어?,<function_DW>(type=3)<end>
5KWDIN,다음 주에 있을 모임 준비를 미리 해두는 게 좋겠지 그리고 토요일 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=8, location=""0"")<end>"
5LBSLN,코끼리반에서 공기청정 해줘요,"<function_FF>(position=""코끼리반"")<end>"
5LDPSV,목요일 선양 날씨 비 와,"<function_MO>(timeframe=6, location=""선양"")<end>"
5LFSMV,이제 그만 복귀해 다음으로 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>
5LIOVM,고정 공기 청정 가동 시작해줘 그리고 월요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=3, location=""0"")<end>"
5LMPKQ,엘이디 화면밝기를 사로 해줘,<function_WN>(brightness=4)<end>
5LOLHS,충전 위치로 되돌아가 그러고 나서 월요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>"
5LOYQG,동대문구 화요일 날씨 눈 올까,"<function_MO>(timeframe=4, location=""동대문구"")<end>"
5LQSGJ,다음 주에 친구들이랑 모임이 있는데 뭐 입고 갈지 고민이야,<function_MR>()<end>
5LSHEQ,실외 공기질 정보 연동 설정을 켜줄래요 그 후에 새로운 책을 시작했는데 너무 재밌어서 시간 가는 줄 모르겠어,"<function_BP>(enable=0, type=0);<function_MR>()<end>"
5LUZVL,주류보관실에서 청정 진행해주세요,"<function_FF>(position=""주류보관실"")<end>"
